id,language,is_tts,group_key
hi_f_weather_02336,Hindi,0,hi_f
hi_f_books_01025,Hindi,0,hi_f
hi_f_weather_03314,Hindi,0,hi_f
hi_f_health_00406,Hindi,1,hi_f
hi_f_agri_00456,Hindi,0,hi_f
hi_f_health_00632,Hindi,1,hi_f
hi_f_finance_00523,Hindi,1,hi_f
hi_f_agri_02407,Hindi,0,hi_f
hi_f_books_08049,Hindi,1,hi_f
hi_f_health_02738,Hindi,1,hi_f
hi_f_books_08063,Hindi,0,hi_f
hi_f_books_02232,Hindi,0,hi_f
hi_f_weather_00467,Hindi,0,hi_f
hi_f_weather_02904,Hindi,0,hi_f
hi_f_general_01017,Hindi,0,hi_f
hi_f_books_03773,Hindi,1,hi_f
hi_f_agri_02309,Hindi,0,hi_f
hi_f_books_04670,Hindi,0,hi_f
hi_f_education_00681,Hindi,1,hi_f
hi_f_other_01351,Hindi,1,hi_f
hi_f_agri_02117,Hindi,1,hi_f
hi_f_books_00550,Hindi,1,hi_f
hi_f_weather_02914,Hindi,0,hi_f
hi_f_politics_00442,Hindi,1,hi_f
hi_f_agri_01156,Hindi,0,hi_f
hi_f_general_00431,Hindi,1,hi_f
hi_f_education_00671,Hindi,1,hi_f
hi_f_general_02637,Hindi,1,hi_f
hi_f_books_02509,Hindi,0,hi_f
hi_f_finance_02097,Hindi,1,hi_f
hi_f_books_08874,Hindi,0,hi_f
hi_f_other_02428,Hindi,0,hi_f
hi_f_other_00350,Hindi,1,hi_f
hi_f_general_02519,Hindi,1,hi_f
hi_f_books_02455,Hindi,1,hi_f
hi_f_general_01688,Hindi,0,hi_f
hi_f_politics_03093,Hindi,0,hi_f
hi_f_education_00484,Hindi,1,hi_f
hi_f_other_04656,Hindi,0,hi_f
hi_f_books_00611,Hindi,1,hi_f
hi_f_other_05338,Hindi,0,hi_f
hi_f_books_04429,Hindi,0,hi_f
hi_f_health_02876,Hindi,1,hi_f
hi_f_books_04684,Hindi,1,hi_f
hi_f_books_06205,Hindi,0,hi_f
hi_f_books_07005,Hindi,1,hi_f
hi_f_education_01638,Hindi,0,hi_f
hi_f_agri_02018,Hindi,1,hi_f
hi_f_education_02736,Hindi,1,hi_f
hi_f_books_04275,Hindi,1,hi_f
hi_f_general_03063,Hindi,1,hi_f
hi_f_other_01276,Hindi,0,hi_f
hi_f_politics_01907,Hindi,0,hi_f
hi_f_education_02330,Hindi,1,hi_f
hi_f_health_01594,Hindi,1,hi_f
hi_f_agri_00320,Hindi,0,hi_f
hi_f_books_04902,Hindi,0,hi_f
hi_f_other_00874,Hindi,1,hi_f
hi_f_other_04925,Hindi,1,hi_f
hi_f_books_01902,Hindi,1,hi_f
hi_f_general_01440,Hindi,1,hi_f
hi_f_finance_02093,Hindi,1,hi_f
hi_f_books_03172,Hindi,0,hi_f
hi_f_other_00128,Hindi,0,hi_f
hi_f_weather_02807,Hindi,1,hi_f
hi_f_books_05273,Hindi,1,hi_f
hi_f_books_03607,Hindi,0,hi_f
hi_f_politics_02353,Hindi,1,hi_f
hi_f_health_00458,Hindi,1,hi_f
hi_f_health_00030,Hindi,0,hi_f
hi_f_other_02898,Hindi,0,hi_f
hi_f_finance_00477,Hindi,1,hi_f
hi_f_books_05181,Hindi,0,hi_f
hi_f_general_00237,Hindi,0,hi_f
hi_f_books_01391,Hindi,0,hi_f
hi_f_education_00307,Hindi,1,hi_f
hi_f_books_05065,Hindi,0,hi_f
hi_f_books_01861,Hindi,1,hi_f
hi_f_education_02655,Hindi,0,hi_f
hi_f_agri_02385,Hindi,0,hi_f
hi_f_weather_02677,Hindi,1,hi_f
hi_f_other_00098,Hindi,0,hi_f
hi_f_finance_00585,Hindi,1,hi_f
hi_f_books_02373,Hindi,0,hi_f
hi_f_general_00700,Hindi,0,hi_f
hi_f_books_06826,Hindi,0,hi_f
hi_f_books_00139,Hindi,1,hi_f
hi_f_weather_02178,Hindi,0,hi_f
hi_f_books_05293,Hindi,0,hi_f
hi_f_education_00645,Hindi,1,hi_f
hi_f_politics_02607,Hindi,0,hi_f
hi_f_books_01191,Hindi,1,hi_f
hi_f_books_01418,Hindi,1,hi_f
hi_f_books_04217,Hindi,1,hi_f
hi_f_books_00966,Hindi,1,hi_f
hi_f_general_01653,Hindi,0,hi_f
hi_f_education_01898,Hindi,0,hi_f
hi_f_weather_01155,Hindi,0,hi_f
hi_f_weather_01959,Hindi,0,hi_f
hi_f_agri_02149,Hindi,1,hi_f
hi_f_finance_00411,Hindi,1,hi_f
hi_f_other_03287,Hindi,1,hi_f
hi_f_education_02702,Hindi,0,hi_f
hi_f_education_01707,Hindi,1,hi_f
hi_f_books_03741,Hindi,1,hi_f
hi_f_finance_01142,Hindi,0,hi_f
hi_f_general_00506,Hindi,0,hi_f
hi_f_politics_03782,Hindi,0,hi_f
hi_f_politics_03502,Hindi,1,hi_f
hi_f_other_03846,Hindi,0,hi_f
hi_f_weather_00488,Hindi,0,hi_f
hi_f_politics_02876,Hindi,0,hi_f
hi_f_weather_02718,Hindi,0,hi_f
hi_f_weather_02454,Hindi,0,hi_f
hi_f_other_02964,Hindi,0,hi_f
hi_f_other_05282,Hindi,0,hi_f
hi_f_politics_01089,Hindi,1,hi_f
hi_f_general_00393,Hindi,0,hi_f
hi_f_other_04446,Hindi,0,hi_f
hi_f_other_00068,Hindi,0,hi_f
hi_f_books_00627,Hindi,1,hi_f
hi_f_education_01764,Hindi,1,hi_f
hi_f_books_01787,Hindi,0,hi_f
hi_f_education_00720,Hindi,0,hi_f
hi_f_education_01817,Hindi,1,hi_f
hi_f_general_03105,Hindi,0,hi_f
hi_f_other_00423,Hindi,0,hi_f
hi_f_weather_02916,Hindi,0,hi_f
hi_f_books_01023,Hindi,0,hi_f
hi_f_education_00790,Hindi,0,hi_f
hi_f_education_02770,Hindi,1,hi_f
hi_f_books_05283,Hindi,0,hi_f
hi_f_education_00762,Hindi,1,hi_f
hi_f_books_07061,Hindi,0,hi_f
hi_f_other_02094,Hindi,1,hi_f
hi_f_other_01019,Hindi,1,hi_f
hi_f_weather_02576,Hindi,0,hi_f
hi_f_weather_02470,Hindi,0,hi_f
hi_f_finance_00764,Hindi,0,hi_f
hi_f_books_04488,Hindi,0,hi_f
hi_f_books_05290,Hindi,1,hi_f
hi_f_health_00038,Hindi,1,hi_f
hi_f_other_03887,Hindi,0,hi_f
hi_f_books_04677,Hindi,1,hi_f
hi_f_politics_03946,Hindi,0,hi_f
hi_f_weather_01546,Hindi,1,hi_f
hi_f_education_01548,Hindi,0,hi_f
hi_f_general_02781,Hindi,1,hi_f
hi_f_weather_02246,Hindi,1,hi_f
hi_f_books_01852,Hindi,0,hi_f
hi_f_general_00135,Hindi,1,hi_f
hi_f_books_01300,Hindi,1,hi_f
hi_f_politics_04183,Hindi,0,hi_f
hi_f_other_04855,Hindi,1,hi_f
hi_f_general_03097,Hindi,0,hi_f
hi_f_books_05078,Hindi,1,hi_f
hi_f_books_06924,Hindi,0,hi_f
hi_f_education_01451,Hindi,1,hi_f
hi_f_politics_00566,Hindi,0,hi_f
hi_f_books_00928,Hindi,1,hi_f
hi_f_books_03106,Hindi,1,hi_f
hi_f_general_01293,Hindi,1,hi_f
hi_f_books_04970,Hindi,1,hi_f
hi_f_general_02616,Hindi,1,hi_f
hi_f_health_02330,Hindi,1,hi_f
hi_f_education_01918,Hindi,1,hi_f
hi_f_finance_01919,Hindi,0,hi_f
hi_f_books_05957,Hindi,0,hi_f
hi_f_general_02084,Hindi,0,hi_f
hi_f_other_01875,Hindi,1,hi_f
hi_f_books_02966,Hindi,1,hi_f
hi_f_general_00806,Hindi,0,hi_f
hi_f_general_02150,Hindi,0,hi_f
hi_f_politics_01272,Hindi,1,hi_f
hi_f_health_01213,Hindi,1,hi_f
hi_f_other_01539,Hindi,1,hi_f
hi_f_books_04631,Hindi,1,hi_f
hi_f_general_02254,Hindi,0,hi_f
hi_f_weather_02937,Hindi,1,hi_f
hi_f_health_02955,Hindi,0,hi_f
hi_f_other_01083,Hindi,1,hi_f
hi_f_general_02310,Hindi,1,hi_f
hi_f_education_00589,Hindi,0,hi_f
hi_f_health_00999,Hindi,1,hi_f
hi_f_other_04150,Hindi,0,hi_f
hi_f_books_03717,Hindi,1,hi_f
hi_f_weather_02732,Hindi,0,hi_f
hi_f_books_08413,Hindi,0,hi_f
hi_f_books_02424,Hindi,1,hi_f
hi_f_books_06720,Hindi,1,hi_f
hi_f_education_00631,Hindi,1,hi_f
hi_f_books_06170,Hindi,1,hi_f
hi_f_agri_01793,Hindi,1,hi_f
hi_f_education_01117,Hindi,0,hi_f
hi_f_politics_03348,Hindi,0,hi_f
hi_f_weather_00193,Hindi,0,hi_f
hi_f_other_02302,Hindi,0,hi_f
hi_f_other_02238,Hindi,1,hi_f
hi_f_other_01157,Hindi,0,hi_f
hi_f_health_02047,Hindi,1,hi_f
hi_f_agri_01383,Hindi,0,hi_f
hi_f_politics_03659,Hindi,1,hi_f
hi_f_books_02467,Hindi,0,hi_f
hi_f_other_00349,Hindi,0,hi_f
hi_f_politics_03387,Hindi,0,hi_f
hi_f_weather_02636,Hindi,1,hi_f
hi_f_books_00610,Hindi,1,hi_f
hi_f_books_07138,Hindi,1,hi_f
hi_f_books_05178,Hindi,0,hi_f
hi_f_health_00127,Hindi,1,hi_f
hi_f_weather_03094,Hindi,1,hi_f
hi_f_health_02654,Hindi,0,hi_f
hi_f_books_08949,Hindi,1,hi_f
hi_f_weather_03373,Hindi,1,hi_f
hi_f_books_03484,Hindi,1,hi_f
hi_f_books_01584,Hindi,1,hi_f
hi_f_books_00908,Hindi,1,hi_f
hi_f_education_02388,Hindi,0,hi_f
hi_f_books_05828,Hindi,1,hi_f
hi_f_education_01965,Hindi,0,hi_f
hi_f_books_05678,Hindi,0,hi_f
hi_f_general_00742,Hindi,0,hi_f
hi_f_other_00830,Hindi,1,hi_f
hi_f_general_01478,Hindi,0,hi_f
hi_f_books_02095,Hindi,1,hi_f
hi_f_agri_00865,Hindi,1,hi_f
hi_f_books_05300,Hindi,1,hi_f
hi_f_books_05588,Hindi,0,hi_f
hi_f_books_08170,Hindi,1,hi_f
hi_f_weather_02584,Hindi,0,hi_f
hi_f_weather_02504,Hindi,1,hi_f
hi_f_books_08029,Hindi,0,hi_f
hi_f_finance_01248,Hindi,0,hi_f
hi_f_politics_01438,Hindi,1,hi_f
hi_f_general_01992,Hindi,0,hi_f
hi_f_books_05136,Hindi,1,hi_f
hi_f_general_00221,Hindi,0,hi_f
hi_f_weather_00679,Hindi,0,hi_f
hi_f_finance_00655,Hindi,0,hi_f
hi_f_agri_01922,Hindi,1,hi_f
hi_f_books_05098,Hindi,0,hi_f
hi_f_education_02587,Hindi,0,hi_f
hi_f_other_01987,Hindi,1,hi_f
hi_f_weather_03037,Hindi,0,hi_f
hi_f_weather_01478,Hindi,0,hi_f
hi_f_weather_00480,Hindi,1,hi_f
hi_f_weather_01927,Hindi,0,hi_f
hi_f_finance_01311,Hindi,0,hi_f
hi_f_weather_02549,Hindi,0,hi_f
hi_f_books_04390,Hindi,0,hi_f
hi_f_politics_01176,Hindi,1,hi_f
hi_f_politics_04047,Hindi,0,hi_f
hi_f_books_05886,Hindi,0,hi_f
hi_f_politics_03316,Hindi,0,hi_f
hi_f_books_03071,Hindi,0,hi_f
hi_f_general_01217,Hindi,1,hi_f
hi_f_books_08240,Hindi,1,hi_f
hi_f_weather_01470,Hindi,1,hi_f
hi_f_other_03796,Hindi,0,hi_f
hi_f_other_02224,Hindi,0,hi_f
hi_f_books_05554,Hindi,1,hi_f
hi_f_politics_04110,Hindi,0,hi_f
