Language,N,Real,Synthetic,Accuracy,Precision,Recall,F1,ROC_AUC,EER
Assamese,777,389,388,0.29987129987129985,0.3010204081632653,0.30412371134020616,0.30256410256410254,0.23386028145124954,0.7017994858611826
Bengali,135,70,65,0.2962962962962963,0.2413793103448276,0.2153846153846154,0.22764227642276422,0.2573626373626373,0.6714285714285714
Bodo,467,235,232,0.4261241970021413,0.4296875,0.47413793103448276,0.45081967213114754,0.4184519442406457,0.5829787234042553
Kannada,801,399,402,0.3807740324594257,0.4181184668989547,0.5970149253731343,0.4918032786885246,0.27870671704135963,0.6766917293233082
Malayalam,142,71,71,0.5704225352112676,0.5462962962962963,0.8309859154929577,0.659217877094972,0.5534616147589764,0.4647887323943662
Marathi,466,233,233,0.3497854077253219,0.3588709677419355,0.38197424892703863,0.3700623700623701,0.27451233214831733,0.6609442060085837
English,132,67,65,0.5227272727272727,0.5079365079365079,0.9846153846153847,0.6701570680628273,0.47439724454649834,0.5223880597014925
Telugu,467,235,232,0.49464668094218417,0.49537037037037035,0.9224137931034483,0.6445783132530121,0.47230374174614825,0.5276595744680851
Hindi,309,149,160,0.5501618122977346,0.5363321799307958,0.96875,0.6904231625835189,0.6416946308724832,0.40268456375838924
Odia,163,82,81,0.5460122699386503,0.5299145299145299,0.7654320987654321,0.6262626262626263,0.5788166214995483,0.4024390243902439
Manipuri,149,84,65,0.5973154362416108,0.5641025641025641,0.3384615384615385,0.4230769230769231,0.6236263736263736,0.40476190476190477
Gujarati,251,123,128,0.4581673306772908,0.45555555555555555,0.3203125,0.3761467889908257,0.43387957317073167,0.5772357723577236
