category,audio,window,time,start_time,end_time,aasist_score,old_prosody_score,new_v2_prosody_score
HUMAN,natural.wav,#1,0.0-2.0s,0.0,2.0,0.9999996423721313,0.0041144948448260665,0.45347535988215526
HUMAN,natural.wav,#2,1.0-3.0s,1.0,3.0,0.999407172203064,0.010537283985037948,0.45347535988215526
HUMAN,natural.wav,#3,2.0-4.0s,2.0,4.0,0.9902010560035706,0.9530682575541614,0.47593023891063896
HUMAN,natural.wav,#4,3.0-5.0s,3.0,5.0,0.5937590003013611,0.5400980141882907,0.4044498148074206
HUMAN,v_audio.ogg,#1,0.0-2.0s,0.0,2.0,0.9987309575080872,0.5298981146937254,0.46323082000175525
HUMAN,v_audio.ogg,#2,1.0-3.0s,1.0,3.0,0.9981725215911865,0.08162828021548141,0.42075662579230777
HUMAN,v_audio.ogg,#3,2.0-4.0s,2.0,4.0,0.9978026747703552,0.04854108316780015,0.4101003076040974
HUMAN,v_audio.ogg,#4,3.0-5.0s,3.0,5.0,0.9988572597503662,0.003605197133014326,0.4081202282807972
HUMAN,v_audio.ogg,#5,4.0-6.0s,4.0,6.0,0.9985401630401611,0.0044903036297513355,0.4081202282807972
HUMAN,v_audio.ogg,#6,5.0-7.0s,5.0,7.0,0.9997672438621521,0.002380252324880705,0.4081202282807972
HUMAN,v_audio.ogg,#7,6.0-8.0s,6.0,8.0,0.9992474317550659,0.0970014578054813,0.4268125080609553
HUMAN,v_audio.ogg,#8,7.0-9.0s,7.0,9.0,0.9996728897094727,0.25666502848764616,0.4029020434212766
HUMAN,v_audio.ogg,#9,8.0-10.0s,8.0,10.0,0.9990643858909607,0.010781114195703156,0.4029020434212766
HUMAN,v_audio.ogg,#10,9.0-11.0s,9.0,11.0,0.9997005462646484,0.006508014207607826,0.40219697755497474
HUMAN,v_audio.ogg,#11,10.0-12.0s,10.0,12.0,0.9998668432235718,0.002696335278087547,0.40219697755497474
HUMAN,v_audio.ogg,#12,11.0-13.0s,11.0,13.0,0.9998787641525269,0.0027925394319562313,0.45361666137747947
HUMAN,v_audio.ogg,#13,12.0-14.0s,12.0,14.0,0.99994957447052,0.004691548172695459,0.4101003076040974
HUMAN,v_audio.ogg,#14,13.0-15.0s,13.0,15.0,0.9999902248382568,0.003721257472708017,0.41912225847118023
HUMAN,v_audio.ogg,#15,14.0-16.0s,14.0,16.0,0.9998364448547363,0.004516837250343908,0.4144449147926339
HUMAN,v_audio.ogg,#16,15.0-17.0s,15.0,17.0,0.9988436698913574,0.005748092242482183,0.4029020434212766
