feature,gain
rms_min,50406.636028289795
rms_max,5808.137939453125
rms_std,1944.054973602295
mfcc_delta2_1_mean,1804.73970413208
flatness_mean,1736.280071258545
mfcc_2_mean,1557.5781116485596
mfcc_12_mean,1284.8139991760254
shimmer,932.6403999328613
rms_mean,844.3705196380615
spectral_bandwidth_std,783.608907699585
mfcc_0_std,508.68940353393555
pause_mean_dur,507.2040100097656
mfcc_10_std,501.4161014556885
mfcc_11_mean,441.778600692749
mfcc_delta_1_mean,422.4484004974365
pause_max_dur,386.9755058288574
mfcc_7_mean,306.9507999420166
spectral_flux_mean,302.00560760498047
flatness_std,271.3773002624512
mfcc_10_mean,262.7837028503418
