language,count,roc_auc,accuracy,precision,recall,f1
Assamese,776,0.9907102953973284,0.9201030927835051,0.8701594533029613,0.9870801033591732,0.9249394673123487
Bengali,134,0.9997767857142856,0.9925373134328358,1.0,0.984375,0.9921259842519685
Bodo,466,0.994436768904854,0.9742489270386266,0.9659574468085106,0.9826839826839827,0.9742489270386266
English,132,0.4489092996555683,0.5151515151515151,0.6666666666666666,0.03076923076923077,0.058823529411764705
Gujarati,251,0.7419334349593496,0.6533864541832669,0.6132596685082873,0.8671875,0.7184466019417476
Hindi,309,0.7647021812080537,0.7249190938511327,0.7192982456140351,0.76875,0.743202416918429
Kannada,801,0.9959818700981309,0.9712858926342073,0.974937343358396,0.9676616915422885,0.9712858926342073
Malayalam,142,1.0,0.9859154929577465,1.0,0.971830985915493,0.9857142857142858
Manipuri,149,0.6417582417582418,0.5704697986577181,0.5043478260869565,0.8923076923076924,0.6444444444444445
Marathi,466,0.9931109432850117,0.9377682403433476,0.9047619047619048,0.9785407725321889,0.9402061855670103
Odia,163,1.0,1.0,1.0,1.0,1.0
Telugu,467,0.9305575935436536,0.8458244111349036,0.7649006622516556,0.9956896551724138,0.8651685393258427
