Model,Feature,Family,Gain
Exp A (Ta+Hi -> En),voiced_ratio,PROSODIC,60.55341431160923
Exp A (Ta+Hi -> En),pause_count,BEHAVIOURAL/TEMPORAL,4.747029075399041
Exp A (Ta+Hi -> En),pause_mean_dur,BEHAVIOURAL/TEMPORAL,50.1104506009724
Exp A (Ta+Hi -> En),pause_median_dur,BEHAVIOURAL/TEMPORAL,29.878976435313234
Exp A (Ta+Hi -> En),speech_silence_ratio,BEHAVIOURAL/TEMPORAL,3.5633720429614186
Exp A (Ta+Hi -> En),speech_segment_count,BEHAVIOURAL/TEMPORAL,8.952077206457034
Exp A (Ta+Hi -> En),temporal_regularity,BEHAVIOURAL/TEMPORAL,12.13289212253585
Exp B (Ta+En -> Hi),voiced_ratio,PROSODIC,34.00464112503687
Exp B (Ta+En -> Hi),pause_count,BEHAVIOURAL/TEMPORAL,97.88465129205724
Exp B (Ta+En -> Hi),pause_mean_dur,BEHAVIOURAL/TEMPORAL,128.3048659006381
Exp B (Ta+En -> Hi),pause_median_dur,BEHAVIOURAL/TEMPORAL,14.914828289474826
Exp B (Ta+En -> Hi),speech_silence_ratio,BEHAVIOURAL/TEMPORAL,0.9588513150811195
Exp B (Ta+En -> Hi),speech_segment_count,BEHAVIOURAL/TEMPORAL,9.901676563164983
Exp B (Ta+En -> Hi),temporal_regularity,BEHAVIOURAL/TEMPORAL,25.650455989059992
Exp C (En+Hi -> Ta),voiced_ratio,PROSODIC,107.26077410526341
Exp C (En+Hi -> Ta),pause_count,BEHAVIOURAL/TEMPORAL,214.68317775111063
Exp C (En+Hi -> Ta),pause_mean_dur,BEHAVIOURAL/TEMPORAL,89.67368454939424
Exp C (En+Hi -> Ta),pause_median_dur,BEHAVIOURAL/TEMPORAL,20.625992441084236
Exp C (En+Hi -> Ta),speech_silence_ratio,BEHAVIOURAL/TEMPORAL,27.92384255467914
Exp C (En+Hi -> Ta),speech_segment_count,BEHAVIOURAL/TEMPORAL,8.448267339961603
Exp C (En+Hi -> Ta),temporal_regularity,BEHAVIOURAL/TEMPORAL,37.230768920402625
