Model,Family,Gain
Exp A (Ta+Hi -> En),ACOUSTIC,47836.22698760266
Exp A (Ta+Hi -> En),BEHAVIOURAL/TEMPORAL,328.63301864541427
Exp A (Ta+Hi -> En),PROSODIC,1154.1599442475485
Exp A (Ta+Hi -> En),VOICE QUALITY,1560.0579290363162
Exp B (Ta+En -> Hi),ACOUSTIC,42006.877918273385
Exp B (Ta+En -> Hi),BEHAVIOURAL/TEMPORAL,2423.574378384283
Exp B (Ta+En -> Hi),PROSODIC,924.1072837623251
Exp B (Ta+En -> Hi),VOICE QUALITY,1272.6045589431596
Exp C (En+Hi -> Ta),ACOUSTIC,51578.077376860594
Exp C (En+Hi -> Ta),BEHAVIOURAL/TEMPORAL,1791.708712857795
Exp C (En+Hi -> Ta),PROSODIC,606.4575263310835
Exp C (En+Hi -> Ta),VOICE QUALITY,2488.0868903685005
