feature,family,split,gain
rms_max,ACOUSTIC,4,1069.3451137542725
spectral_flux_mean,ACOUSTIC,4,991.7009887695312
mfcc_delta_0_mean,ACOUSTIC,4,653.0086975097656
rms_min,ACOUSTIC,18,595.3416023254395
rms_mean,ACOUSTIC,9,534.5358486175537
mfcc_delta_1_mean,ACOUSTIC,9,368.89030265808105
spectral_bandwidth_std,ACOUSTIC,6,236.72507190704346
mfcc_1_std,ACOUSTIC,2,227.4489974975586
speech_duration,BEHAVIOURAL/TEMPORAL,7,168.84739780426025
mfcc_delta2_0_mean,ACOUSTIC,4,156.23669815063477
flatness_std,ACOUSTIC,9,135.14590072631836
shimmer,VOICE QUALITY,5,99.68502044677734
mfcc_11_std,ACOUSTIC,4,91.9704008102417
spectral_rolloff_std,ACOUSTIC,4,87.22179794311523
f0_min,PROSODIC,2,85.28250122070312
mfcc_10_std,ACOUSTIC,1,81.67720031738281
mfcc_delta2_7_std,ACOUSTIC,3,78.26339912414551
mfcc_7_std,ACOUSTIC,4,76.70680141448975
mfcc_5_mean,ACOUSTIC,4,70.58589935302734
mfcc_delta2_1_mean,ACOUSTIC,3,59.97449970245361
mfcc_9_mean,ACOUSTIC,2,47.147300720214844
mfcc_12_mean,ACOUSTIC,3,47.04666042327881
mfcc_12_std,ACOUSTIC,3,45.02760124206543
f0_std,PROSODIC,1,40.95669937133789
silence_duration,BEHAVIOURAL/TEMPORAL,2,39.577301025390625
mfcc_delta_7_std,ACOUSTIC,2,36.65399932861328
pause_max_dur,BEHAVIOURAL/TEMPORAL,2,36.55270004272461
f0_mean,PROSODIC,2,33.90129852294922
f0_median,PROSODIC,2,31.56733989715576
mfcc_0_std,ACOUSTIC,2,30.739519119262695
rms_std,ACOUSTIC,2,29.964500427246094
mfcc_delta2_6_mean,ACOUSTIC,2,27.135329246520996
flatness_mean,ACOUSTIC,1,25.6112003326416
mfcc_10_mean,ACOUSTIC,2,22.882999420166016
mfcc_6_std,ACOUSTIC,1,19.029199600219727
spectral_centroid_std,ACOUSTIC,1,18.942800521850586
mfcc_delta_9_std,ACOUSTIC,1,18.428300857543945
mfcc_8_std,ACOUSTIC,1,18.20039939880371
mfcc_0_mean,ACOUSTIC,1,17.108400344848633
mfcc_delta_6_std,ACOUSTIC,1,12.515000343322754
spectral_bandwidth_mean,ACOUSTIC,1,12.320300102233887
mfcc_delta_5_std,ACOUSTIC,1,11.67870044708252
mfcc_delta2_10_std,ACOUSTIC,1,11.397000312805176
mfcc_2_mean,ACOUSTIC,1,11.095499992370605
mfcc_delta_5_mean,ACOUSTIC,1,10.828800201416016
mfcc_delta2_1_std,ACOUSTIC,1,10.550700187683105
mfcc_delta2_11_std,ACOUSTIC,1,10.024399757385254
mfcc_4_std,ACOUSTIC,1,9.803770065307617
mfcc_delta_11_std,ACOUSTIC,1,8.69143009185791
mfcc_delta2_2_mean,ACOUSTIC,1,8.448309898376465
mfcc_1_mean,ACOUSTIC,0,0.0
mfcc_delta2_0_std,ACOUSTIC,0,0.0
mfcc_2_std,ACOUSTIC,0,0.0
mfcc_delta_1_std,ACOUSTIC,0,0.0
zcr_mean,ACOUSTIC,0,0.0
spectral_rolloff_mean,ACOUSTIC,0,0.0
spectral_centroid_mean,ACOUSTIC,0,0.0
speech_segment_count,BEHAVIOURAL/TEMPORAL,0,0.0
temporal_regularity,BEHAVIOURAL/TEMPORAL,0,0.0
speech_silence_ratio,BEHAVIOURAL/TEMPORAL,0,0.0
pause_mean_dur,BEHAVIOURAL/TEMPORAL,0,0.0
pause_count,BEHAVIOURAL/TEMPORAL,0,0.0
voiced_ratio,PROSODIC,0,0.0
pause_median_dur,BEHAVIOURAL/TEMPORAL,0,0.0
jitter,VOICE QUALITY,0,0.0
f0_max,PROSODIC,0,0.0
f0_range,PROSODIC,0,0.0
hnr,VOICE QUALITY,0,0.0
mfcc_delta_0_std,ACOUSTIC,0,0.0
zcr_std,ACOUSTIC,0,0.0
mfcc_delta_4_std,ACOUSTIC,0,0.0
mfcc_delta_4_mean,ACOUSTIC,0,0.0
mfcc_delta2_4_std,ACOUSTIC,0,0.0
mfcc_delta2_4_mean,ACOUSTIC,0,0.0
mfcc_delta_2_std,ACOUSTIC,0,0.0
mfcc_delta_2_mean,ACOUSTIC,0,0.0
mfcc_3_mean,ACOUSTIC,0,0.0
mfcc_3_std,ACOUSTIC,0,0.0
mfcc_delta_3_mean,ACOUSTIC,0,0.0
mfcc_delta2_2_std,ACOUSTIC,0,0.0
mfcc_delta_7_mean,ACOUSTIC,0,0.0
mfcc_7_mean,ACOUSTIC,0,0.0
mfcc_delta_6_mean,ACOUSTIC,0,0.0
mfcc_delta2_6_std,ACOUSTIC,0,0.0
mfcc_5_std,ACOUSTIC,0,0.0
mfcc_delta2_5_mean,ACOUSTIC,0,0.0
mfcc_delta2_5_std,ACOUSTIC,0,0.0
mfcc_6_mean,ACOUSTIC,0,0.0
mfcc_delta_3_std,ACOUSTIC,0,0.0
mfcc_delta2_3_mean,ACOUSTIC,0,0.0
mfcc_delta2_3_std,ACOUSTIC,0,0.0
mfcc_4_mean,ACOUSTIC,0,0.0
mfcc_delta2_8_std,ACOUSTIC,0,0.0
mfcc_delta2_8_mean,ACOUSTIC,0,0.0
mfcc_delta2_7_mean,ACOUSTIC,0,0.0
mfcc_8_mean,ACOUSTIC,0,0.0
mfcc_delta2_9_mean,ACOUSTIC,0,0.0
mfcc_delta2_9_std,ACOUSTIC,0,0.0
mfcc_9_std,ACOUSTIC,0,0.0
mfcc_delta_9_mean,ACOUSTIC,0,0.0
mfcc_delta_8_mean,ACOUSTIC,0,0.0
mfcc_delta_8_std,ACOUSTIC,0,0.0
mfcc_delta2_10_mean,ACOUSTIC,0,0.0
mfcc_delta_10_mean,ACOUSTIC,0,0.0
mfcc_delta_11_mean,ACOUSTIC,0,0.0
mfcc_11_mean,ACOUSTIC,0,0.0
mfcc_delta_10_std,ACOUSTIC,0,0.0
mfcc_delta2_11_mean,ACOUSTIC,0,0.0
mfcc_delta_12_mean,ACOUSTIC,0,0.0
mfcc_delta_12_std,ACOUSTIC,0,0.0
mfcc_delta2_12_mean,ACOUSTIC,0,0.0
mfcc_delta2_12_std,ACOUSTIC,0,0.0
